1;1187;77;184;216;106;47;143;220;194;;;;;;;;;;;1;7
2;1947;117;306;330;167;89;228;355;355;;;;;;;;;;;2;7
3;1951;121;304;334;171;80;217;380;343;;;;;;;;;;;3;7
4;1944;125;309;316;175;78;239;366;337;;;;;;;;;;;4;7
5;1911;119;311;332;166;84;227;345;328;;;;;;;;;;;5;7
6;1905;125;302;323;159;79;219;355;342;;;;;;;;;;;6;7
7;1901;119;309;325;160;80;234;352;322;;;;;;;;;;;7;7
8;1978;127;303;354;170;81;221;380;342;;;;;;;;;;;8;7
9;1990;122;308;331;183;78;229;384;353;;;;;;;;;;;9;7
10;1957;123;303;331;170;88;236;368;338;;;;;;;;;;;10;7
11;1898;116;311;333;172;77;228;338;322;;;;;;;;;;;11;7
12;1830;123;301;307;140;80;225;333;323;;;;;;;;;;;12;7
13;1806;118;296;295;154;82;218;338;304;;;;;;;;;;;13;7
14;1816;122;290;312;161;77;210;334;309;;;;;;;;;;;14;7
15;1748;112;287;293;145;74;215;323;298;;;;;;;;;;;15;7
16;1752;118;286;293;142;77;210;324;302;;;;;;;;;;;16;7
17;1728;120;297;291;150;77;201;315;277;;;;;;;;;;;17;7
18;1661;115;282;284;134;68;203;309;268;;;;;;;;;;;18;7
19;1638;113;275;274;132;78;191;302;274;;;;;;;;;;;19;7
20;1604;122;261;275;135;72;196;282;261;;;;;;;;;;;20;7
21;1553;106;273;261;137;67;183;275;251;;;;;;;;;;;21;7
22;1569;112;266;259;126;72;198;281;255;;;;;;;;;;;22;7
23;1567;113;257;263;132;71;195;292;245;;;;;;;;;;;23;7
24;1501;108;250;250;124;73;192;259;244;;;;;;;;;;;24;7
25;1550;104;263;264;122;73;197;278;249;;;;;;;;;;;25;7
26;1547;110;267;263;124;66;195;279;245;;;;;;;;;;;26;7
27;1585;111;274;259;118;75;211;287;252;;;;;;;;;;;27;7
28;1560;116;261;267;131;68;193;277;247;;;;;;;;;;;28;7
29;1573;113;262;265;127;72;193;282;258;;;;;;;;;;;29;7
30;1564;115;269;255;123;72;192;282;256;;;;;;;;;;;30;7
31;1583;114;261;260;124;71;205;297;251;;;;;;;;;;;31;7
32;1526;116;248;249;123;65;195;275;255;;;;;;;;;;;32;7
33;1530;104;258;257;124;70;186;280;252;;;;;;;;;;;33;7
34;1542;107;262;258;128;67;194;273;253;;;;;;;;;;;34;7
35;1556;114;260;263;125;72;187;275;260;;;;;;;;;;;35;7
36;1592;115;267;285;122;73;201;268;262;;;;;;;;;;;36;7
37;1556;105;267;269;124;75;197;277;241;;;;;;;;;;;37;7
38;1575;106;271;263;138;76;195;264;264;;;;;;;;;;;38;7
39;1585;110;267;275;135;75;198;285;241;;;;;;;;;;;39;7
40;1606;113;268;279;140;71;205;278;251;;;;;;;;;;;40;7
41;1641;120;269;278;135;79;215;290;254;;;;;;;;;;;41;7
42;1619;111;271;281;138;69;194;288;267;;;;;;;;;;;42;7
43;1696;107;296;296;149;84;198;295;270;;;;;;;;;;;43;7
44;1654;107;269;282;154;80;208;295;259;;;;;;;;;;;44;7
45;1693;111;265;285;153;83;206;304;287;;;;;;;;;;;45;7
46;1650;96;280;272;141;69;202;311;278;;;;;;;;;;;46;7
47;1690;117;279;292;152;71;213;306;260;;;;;;;;;;;47;7
48;1712;114;297;291;146;70;197;311;287;;;;;;;;;;;48;7
49;1771;122;285;299;161;77;216;316;295;;;;;;;;;;;49;7
50;1743;101;272;303;153;75;212;334;293;;;;;;;;;;;50;7
51;1795;113;284;321;162;76;220;321;298;;;;;;;;;;;51;7
52;1779;111;294;298;149;73;216;322;316;;;;;;;;;;;52;7
53;1087;69;182;177;100;43;128;199;190;;;;;;;;;;;53;7
