27;Alabama;232,145;1.1;47,494;South
48;Alaska;55,430;0.3;75,166;West
56;American Samoa;634;0.003[A];11,399;West[C]
20;Arizona;368,556;1.7;51,391;West
35;Arkansas;134,022;0.6;44,469;South
1;California;3,155,224;14.6;79,764;West
16;Colorado;392,348;1.8;68,887;West
23;Connecticut;287,560;1.3;80,489;Northeast
44;Delaware;75,765;0.4;78,337;South
34;District of Columbia;146,996;0.7;209,260;South
4;Florida;1,100,721;5.1;51,679;South
9;Georgia;619,818;2.9;58,921;South
53;Guam;5,859;0.03[A];35,665;West[C]
40;Hawaii;97,664;0.5;68,754;West
42;Idaho;81,493;0.4;46,456;West
5;Illinois;901,572;4.2;70,761;Midwest
19;Indiana;379,133;1.8;56,656;Midwest
30;Iowa;195,858;0.9;62,056;Midwest
33;Kansas;174,183;0.8;59,826;Midwest
28;Kentucky;215,586;1.0;48,247;South
24;Louisiana;264,853;1.2;56,836;South
45;Maine;67,905;0.3;50,736;Northeast
15;Maryland;430,388;2.0;71,224;South
11;Massachusetts;599,092;2.8;86,798;Northeast
14;Michigan;543,977;2.5;54,420;Midwest
17;Minnesota;383,094;1.8;68,273;Midwest
37;Mississippi;119,497;0.6;40,012;South
22;Missouri;334,286;1.6;54,564;Midwest
50;Montana;52,470;0.2;49,393;West
36;Nebraska;127,941;0.6;66,316;Midwest
32;Nevada;178,622;0.8;58,866;West
41;New Hampshire;89,152;0.4;65,724;Northeast
8;New Jersey;648,984;3.0;72,850;Northeast
38;New Mexico;104,349;0.5;49,798;West
3;New York;1,740,745;8.1;89,076;Northeast
12;North Carolina;590,711;2.7;56,889;South
47;North Dakota;57,106;0.3;75,132;Midwest
55;Northern Mariana Islands;1,593;0.007[A];28,164;West[C]
7;Ohio;701,438;3.3;60,006;Midwest
29;Oklahoma;206,254;1.0;52,308;South
25;Oregon;253,036;1.2;60,380;West
6;Pennsylvania;817,216;3.8;63,810;Northeast
39;Puerto Rico;101,131;0.48[A];31,651;South[D]
46;Rhode Island;63,903;0.3;60,439;Northeast
26;South Carolina;247,711;1.1;48,722;South
49;South Dakota;53,692;0.3;60,859;Midwest
18;Tennessee;382,275;1.8;56,466;South
2;Texas;1,896,063;8.8;66,061;South
31;Utah;189,809;0.9;60,045;West
52;Vermont;34,973;0.2;55,841;Northeast
13;Virginia;557,144;2.6;65,410;South
10;Washington;603,772;2.8;80,123;West
43;West Virginia;78,270;0.4;43,343;South
21;Wisconsin;348,822;1.6;60,001;Midwest
51;Wyoming;39,610;0.2;68,561;West
