Afghanistan;38,928,346
Albania;2,877,797
Algeria;43,851,044
American Samoa;55,191
Andorra;77,265
Angola;32,866,272
Anguilla;15,003
Antigua and Barbuda;97,929
Argentina;45,195,774
Armenia;2,963,243
Aruba;106,766
Australia;25,499,884
Austria;9,006,398
Azerbaijan;10,139,177
Bahamas, The;393,244
Bahrain;1,701,575
Bangladesh;164,689,383
Barbados;287,375
Belarus;9,449,323
Belgium;11,589,623
Belize;397,628
Benin;12,123,200
Bermuda;62,278
Bhutan;771,608
Bolivia;11,673,021
Bosnia and Herzegovina;3,280,819
Botswana;2,351,627
Brazil;212,559,417
British Virgin Islands;30,231
Brunei;437,479
Bulgaria;6,948,445
Burkina Faso;20,903,273
Burundi;11,890,784
Cabo Verde;555,987
Cambodia;16,718,965
Cameroon;26,545,863
Canada;37,742,154
Caribbean Netherlands;26,223
Cayman Islands;65,722
Central African Republic;4,829,767
Chad;16,425,864
Channel Islands;173,863
Chile;19,116,201
China;1,439,323,776
Colombia;50,882,891
Comoros;869,601
Congo;5,518,087
Cook Islands;17,564
Costa Rica;5,094,118
Croatia;4,105,267
Cuba;11,326,616
Curaçao;164,093
Cyprus;1,207,359
Czechia;10,708,981
Côte d'Ivoire;26,378,274
Denmark;5,792,202
Djibouti;988,000
Dominica;71,986
Dominican Republic;10,847,910
DR Congo;89,561,403
Ecuador;17,643,054
Egypt;102,334,404
El Salvador;6,486,205
Equatorial Guinea;1,402,985
Eritrea;3,546,421
Estonia;1,326,535
Eswatini;1,160,164
Ethiopia;114,963,588
Faeroe Islands;48,863
Falkland Islands;3,480
Fiji;896,445
Finland;5,540,720
France;65,273,511
French Guiana;298,682
French Polynesia;280,908
Gabon;2,225,734
Gambia;2,416,668
Georgia;3,989,167
Germany;83,783,942
Ghana;31,072,940
Gibraltar;33,691
Greece;10,423,054
Greenland;56,770
Grenada;112,523
Guadeloupe;400,124
Guam;168,775
Guatemala;17,915,568
Guinea;13,132,795
Guinea-Bissau;1,968,001
Guyana;786,552
Haiti;11,402,528
Vatican City;801
Holy See;801
Honduras;9,904,607
Hong Kong;7,496,981
Hungary;9,660,351
Iceland;341,243
India;1,380,004,385
Indonesia;273,523,615
Iran;83,992,949
Iraq;40,222,493
Ireland;4,937,786
Isle of Man;85,033
Israel;8,655,535
Italy;60,461,826
Jamaica;2,961,167
Japan;126,476,461
Jordan;10,203,134
Kazakhstan;18,776,707
Kenya;53,771,296
Kiribati;119,449
Kuwait;4,270,571
Kyrgyzstan;6,524,195
Laos;7,275,560
Latvia;1,886,198
Lebanon;6,825,445
Lesotho;2,142,249
Liberia;5,057,681
Libya;6,871,292
Liechtenstein;38,128
Lithuania;2,722,289
Luxembourg;625,978
Macao;649,335
Madagascar;27,691,018
Malawi;19,129,952
Malaysia;32,365,999
Maldives;540,544
Mali;20,250,833
Malta;441,543
Marshall Islands;59,190
Martinique;375,265
Mauritania;4,649,658
Mauritius;1,271,768
Mayotte;272,815
Mexico;128,932,753
Micronesia;115,023
Moldova;4,033,963
Monaco;39,242
Mongolia;3,278,290
Montenegro;628,066
Montserrat;4,992
Morocco;36,910,560
Mozambique;31,255,435
Myanmar;54,409,800
Namibia;2,540,905
Nauru;10,824
Nepal;29,136,808
Netherlands;17,134,872
New Caledonia;285,498
New York;19,450,000
New Zealand;4,822,233
Nicaragua;6,624,554
Niger;24,206,644
Nigeria;206,139,589
Niue;1,626
North Korea;25,778,816
North Macedonia;2,083,374
Northern Mariana Islands;57,559
Norway;5,421,241
Oman;5,106,626
Pakistan;220,892,340
Palau;18,094
Panama;4,314,767
Papua New Guinea;8,947,024
Paraguay;7,132,538
Peru;32,971,854
Philippines;109,581,078
Poland;37,846,611
Portugal;10,196,709
Puerto Rico;2,860,853
Qatar;2,881,053
Romania;19,237,691
Russia;145,934,462
Rwanda;12,952,218
Réunion;895,312
Saint Barthelemy;9,877
Saint Helena;6,077
Saint Kitts & Nevis;53,199
Saint Lucia;183,627
Saint Martin;38,666
Saint Pierre & Miquelon;5,794
Samoa;198,414
San Marino;33,931
Sao Tome & Principe;219,159
Saudi Arabia;34,813,871
Senegal;16,743,927
Serbia;8,737,371
Seychelles;98,347
Sierra Leone;7,976,983
Singapore;5,850,342
Sint Maarten;42,876
Slovakia;5,459,642
Slovenia;2,078,938
Solomon Islands;686,884
Somalia;15,893,222
South Africa;59,308,690
Korea, South;51,269,185
South Sudan;11,193,725
Spain;46,754,778
Sri Lanka;21,413,249
St. Vincent & Grenadines;110,940
State of Palestine;5,101,414
Sudan;43,849,260
Suriname;586,632
Sweden;10,099,265
Sweden_without_Stockholm;7,800,000
Switzerland;8,654,622
Syria;17,500,658
Taiwan;23,816,775
Tajikistan;9,537,645
Tanzania;59,734,218
Thailand;69,799,978
Timor-Leste;1,318,445
Togo;8,278,724
Tokelau;1,357
Tonga;105,695
Trinidad and Tobago;1,399,488
Tunisia;11,818,619
Turkey;84,339,067
Turkmenistan;6,031,200
Turks and Caicos;38,717
Tuvalu;11,792
U.S. Virgin Islands;104,425
Uganda;45,741,007
Ukraine;43,733,762
United Arab Emirates;9,890,402
United Kingdom;67,886,011
UK;67,886,011
US;331,002,651
USA;331,002,651
Uruguay;3,473,730
Uzbekistan;33,469,203
Vanuatu;307,145
Venezuela;28,435,940
Vietnam;97,338,579
Wallis & Futuna;11,239
Western Sahara;597,339
Yemen;29,825,964
Zambia;18,383,955
Zimbabwe;14,862,924
